iter	MAE	RMSE
650	0.3533379736	0.4824265763
651	0.3532592596	0.4823236576
652	0.353140642	0.4821730912
653	0.3529594707	0.4819958477
654	0.3528821057	0.4819225421
655	0.3528077869	0.4818346457
656	0.3527401207	0.4817371333
657	0.352706401	0.4816752569
658	0.3526417237	0.4815983159
659	0.3525700677	0.4815625705
660	0.3524188937	0.4814158037
661	0.3523330504	0.4813288236
662	0.3522684452	0.481208621
663	0.3522277106	0.4810988263
664	0.3520917467	0.4809827789
665	0.3519470807	0.4808545721
666	0.3518039572	0.4806928257
667	0.3516901434	0.4805558244
668	0.3515480036	0.4803876677
669	0.3514669545	0.4802338757
670	0.3513345636	0.4801117671
671	0.351244513	0.4799700995
672	0.351150572	0.4798878077
673	0.3510262722	0.4797277821
674	0.3509999356	0.4796547741
675	0.3508719146	0.479474875
676	0.3508395105	0.479370173
677	0.3507876551	0.4792973721
678	0.350691301	0.4791621124
679	0.3506708921	0.4791312174
680	0.3505728776	0.4789865349
681	0.3504283433	0.4788387511
682	0.3503586099	0.478739501
683	0.3502863711	0.4786848018
684	0.3501441909	0.4784836575
685	0.3500361737	0.4782501323
686	0.3499168499	0.478072157
687	0.3498386451	0.4779622551
688	0.3497285273	0.4778062713
689	0.3496791162	0.477749008
690	0.3495647027	0.4776446467
691	0.3495046443	0.4775840176
692	0.3494114876	0.4774684483
693	0.3493065474	0.4773225821
694	0.34917634	0.4771794173
695	0.3491383796	0.4771105618
696	0.3490600808	0.4770253176
697	0.3489676061	0.4769344618
698	0.3489197967	0.4768710868
699	0.348830246	0.4767432055
700	0.3487621371	0.4765998196
701	0.3486798967	0.4764707276
702	0.3485729888	0.4763267498
703	0.3485155223	0.4762628894
704	0.3484357389	0.4761591221
705	0.3483269673	0.4760610923
706	0.3482480543	0.4759364103
707	0.3481539268	0.4757794906
708	0.3480115948	0.4755450619
709	0.3478791223	0.4754341102
710	0.3477966669	0.475302153
711	0.3477665021	0.4752576857
712	0.3476819698	0.4751328831
